Month,Rolex
2017-01,68
2017-02,66
2017-03,74
2017-04,77
2017-05,75
2017-06,81
2017-07,82
2017-08,81
2017-09,79
2017-10,87
2017-11,84
2017-12,95
2018-01,85
2018-02,76
2018-03,82
2018-04,76
2018-05,79
2018-06,75
2018-07,80
2018-08,83
2018-09,80
2018-10,80
2018-11,83
2018-12,89
2019-01,86
2019-02,77
2019-03,84
2019-04,83
2019-05,80
2019-06,84
2019-07,86
2019-08,86
2019-09,82
2019-10,85
2019-11,87
2019-12,92
2020-01,87
2020-02,81
2020-03,59
2020-04,56
2020-05,63
2020-06,74
2020-07,79
2020-08,80
2020-09,86
2020-10,73
2020-11,75
2020-12,83
2021-01,79
2021-02,75
2021-03,77
2021-04,84
2021-05,77
2021-06,82
2021-07,94
2021-08,94
2021-09,79
2021-10,75
2021-11,82
2021-12,100
2022-01,90
2022-02,81
2022-03,75